# token	alias
mn	menu
mnlmn	menu
rmenu	menu
rrmenu	menu
rmmenu	menu
mnmodule	module
mnlmodule	module
rmodule	module
rrmodule	module
rmmodule	module
cwebuser	user
insertuser	user
updateuser	user
record	report
organizercontact	contact
reportercontact	contact
requestedbycontact	contact
responsiblecontact	contact
rolepermission	role
userpermission	user
userpreference	user
userrole	user
parentunit	unit
agenda	meetingagenda
agendatype	meetingagendatype
agendarelevant	meetingagendarelevant
decision	meetingdecision
decisionrelevant	meetingdecisionrelevant
attendee	meetingattendee
meeting	meetings
meetingtype	meetingtypes
meetinggu	meetinggusetups
location	meetinglocations
cfi	cogs_fifo_in
cfo	cogs_fifo_out
ibc	item_branch_costcenter
rmj	rm_historyjson
msb	mutasi_stok_batch
rbk	rekap_barang_konsinyasi
rlr	report_lang
trs	table_relation_status
pc	permissions_custom
lp	lab_result
