table_key	menu_label	transaksi_url	data_url
m2_aj	Jurnal Penyesuaian (AJ)	mod/m2/m2_TransaksiAJ.swf	mod/m2/m2_DataAJ.swf
m2_bd	Anggaran (BD)	mod/m2/m2_TransaksiBD.swf	mod/m2/m2_DataBD.swf
m2_cb	Saldo Awal Coa (CB)	mod/m2/m2_TransaksiCB.swf	mod/m2/m2_DataCB.swf
m2_cd	Kas Keluar (CD)	mod/m2/m2_TransaksiCD.swf	mod/m2/m2_DataCD.swf
m2_cr	Kas Masuk (CR)	mod/m2/m2_TransaksiCR.swf	mod/m2/m2_DataCR.swf
m2_gj	Jurnal Umum (GJ)	mod/m2/m2_TransaksiGJ.swf	mod/m2/m2_DataGJ.swf
m2_jm	Jurnal Memorial (JM)	mod/m2/m2_TransaksiJM.swf	mod/m2/m2_DataJM.swf
m2_rg	Giro Masuk (RG)	mod/m2/m2_TransaksiRG.swf	mod/m2/m2_DataRG.swf
m2_rgc	Giro Masuk Batal (RGC)	mod/m2/m2_TransaksiRGC.swf	mod/m2/m2_DataRGC.swf
m2_rm	Bank Receipt (RM)	mod/m2/m2_TransaksiRM.swf	mod/m2/m2_DataRM.swf
m2_sg	Giro Keluar (SG)	mod/m2/m2_TransaksiSG.swf	mod/m2/m2_DataSG.swf
m2_sgc	Giro Keluar Batal (SGC)	mod/m2/m2_TransaksiSGC.swf	mod/m2/m2_DataSGC.swf
m2_sm	Bank Payment (SM)	mod/m2/m2_TransaksiSM.swf	mod/m2/m2_DataSM.swf
m2_template	Template Jurnal (TJ)	mod/m2/m2_TransaksiTJ.swf	mod/m2/m2_DataTJ.swf
