mapped_table	menu_rows	transaksi_menu_id	transaksi_menu_name	transaksi_url	data_menu_id	data_menu_name	data_url	all_menu_names
m2_aj	2	8	Jurnal Penyesuaian (AJ)	mod/m2/m2_TransaksiAJ.swf	21	Jurnal Penyesuaian (AJ)	mod/m2/m2_DataAJ.swf	Jurnal Penyesuaian (AJ) | Jurnal Penyesuaian (AJ)
m2_bd	2	135	Anggaran (BD)	mod/m2/m2_TransaksiBD.swf	136	Anggaran (BD)	mod/m2/m2_DataBD.swf	Anggaran (BD) | Anggaran (BD)
m2_cb	2	65	Saldo Awal Coa (CB)	mod/m2/m2_TransaksiCB.swf	66	Saldo Awal Coa (CB)	mod/m2/m2_DataCB.swf	Saldo Awal Coa (CB) | Saldo Awal Coa (CB)
m2_cd	2	4	Kas Keluar (CD)	mod/m2/m2_TransaksiCD.swf	17	Kas Keluar (CD)	mod/m2/m2_DataCD.swf	Kas Keluar (CD) | Kas Keluar (CD)
m2_cr	2	3	Kas Masuk (CR)	mod/m2/m2_TransaksiCR.swf	16	Kas Masuk (CR)	mod/m2/m2_DataCR.swf	Kas Masuk (CR) | Kas Masuk (CR)
m2_gj	2	7	Jurnal Umum (GJ)	mod/m2/m2_TransaksiGJ.swf	20	Jurnal Umum (GJ)	mod/m2/m2_DataGJ.swf	Jurnal Umum (GJ) | Jurnal Umum (GJ)
m2_jm	2	138	Jurnal Memorial (JM)	mod/m2/m2_TransaksiJM.swf	139	Jurnal Memorial (JM)	mod/m2/m2_DataJM.swf	Jurnal Memorial (JM) | Jurnal Memorial (JM)
m2_rg	2	9	Giro Masuk (RG)	mod/m2/m2_TransaksiRG.swf	22	Giro Masuk (RG)	mod/m2/m2_DataRG.swf	Giro Masuk (RG) | Giro Masuk (RG)
m2_rgc	2	11	Giro Masuk Batal (RGC)	mod/m2/m2_TransaksiRGC.swf	24	Giro Masuk Batal (RGC)	mod/m2/m2_DataRGC.swf	Giro Masuk Batal (RGC) | Giro Masuk Batal (RGC)
m2_rm	2	5	Bank Receipt (RM)	mod/m2/m2_TransaksiRM.swf	18	Bank Receipt (RM)	mod/m2/m2_DataRM.swf	Bank Receipt (RM) | Bank Receipt (RM)
m2_sg	2	10	Giro Keluar (SG)	mod/m2/m2_TransaksiSG.swf	23	Giro Keluar (SG)	mod/m2/m2_DataSG.swf	Giro Keluar (SG) | Giro Keluar (SG)
m2_sgc	2	12	Giro Keluar Batal (SGC)	mod/m2/m2_TransaksiSGC.swf	25	Giro Keluar Batal (SGC)	mod/m2/m2_DataSGC.swf	Giro Keluar Batal (SGC) | Giro Keluar Batal (SGC)
m2_sm	2	6	Bank Payment (SM)	mod/m2/m2_TransaksiSM.swf	19	Bank Payment (SM)	mod/m2/m2_DataSM.swf	Bank Payment (SM) | Bank Payment (SM)
m2_template	2	14	Template Jurnal (TJ)	mod/m2/m2_TransaksiTJ.swf	27	Template Jurnal (TJ)	mod/m2/m2_DataTJ.swf	Template Jurnal (TJ) | Template Jurnal (TJ)
