mnmoduleid	mnid	mnname	mnurl	mnidtransaksi	code_from_name	code_from_url	mapped_table	table_exists	mapping_source	notes
5	3	Penawaran Penjualan (SQ)	mod/m5/m5_TransaksiSQ.swf	0	SQ	SQ	m5_sq	YES	name_code	
5	4	Order Penjualan (SO)	mod/m5/m5_TransaksiSO.swf	0	SO	SO	m5_so	YES	name_code	
5	5	UM Penjualan (AS)	mod/m5/m5_TransaksiAS.swf	0	AS	AS	m5_as	YES	name_code	
5	6	Packing Barang (PL)	mod/m5/m5_TransaksiPL.swf	0	PL	PL	m5_pl	YES	name_code	
5	7	Pengiriman Order (DO)	mod/m5/m5_TransaksiDO.swf	0	DO	DO	m5_do	YES	name_code	
5	8	Hasil Pengiriman Order (DR)	mod/m5/m5_TransaksiDR.swf	0	DR	DR	m5_dr	YES	name_code	
5	9	Invoice Sementara (PI)	mod/m5/m5_TransaksiPI.swf	0	PI	PI	m5_pi	YES	name_code	
5	10	Invoice Penjualan (SI)	mod/m5/m5_TransaksiSI.swf	0	SI	SI	m5_si	YES	name_code	
5	11	Penerimaan Barang Retur (RNR)	mod/m5/m5_TransaksiRNR.swf	0	RNR	RNR	m5_rnr	YES	name_code	
5	12	Retur Penjualan (SR)	mod/m5/m5_TransaksiSR.swf	0	SR	SR	m5_sr	YES	name_code	
5	13	Penagihan Piutang (IC)	mod/m5/m5_TransaksiIC.swf	0	IC	IC	m5_ic	YES	name_code	
5	14	Pembayaran Piutang (PV)	mod/m5/m5_TransaksiPV.swf	0	PV	PV	m5_pv	YES	name_code	
5	16	Penawaran Penjualan (SQ)	mod/m5/m5_DataSQ.swf	3	SQ	SQ	m5_sq	YES	name_code	
5	17	Order Penjualan (SO)	mod/m5/m5_DataSO.swf	4	SO	SO	m5_so	YES	name_code	
5	18	UM Penjualan (AS)	mod/m5/m5_DataAS.swf	5	AS	AS	m5_as	YES	name_code	
5	19	Packing Barang (PL)	mod/m5/m5_DataPL.swf	6	PL	PL	m5_pl	YES	name_code	
5	20	Pengiriman Order (DO)	mod/m5/m5_DataDO.swf	7	DO	DO	m5_do	YES	name_code	
5	21	Hasil Pengiriman Order (DR)	mod/m5/m5_DataDR.swf	8	DR	DR	m5_dr	YES	name_code	
5	22	Invoice Sementara (PI)	mod/m5/m5_DataPI.swf	9	PI	PI	m5_pi	YES	name_code	
5	23	Invoice Penjualan (SI)	mod/m5/m5_DataSI.swf	10	SI	SI	m5_si	YES	name_code	
5	24	Penerimaan Barang Retur (RNR)	mod/m5/m5_DataRNR.swf	11	RNR	RNR	m5_rnr	YES	name_code	
5	25	Retur Penjualan (SR)	mod/m5/m5_DataSR.swf	12	SR	SR	m5_sr	YES	name_code	
5	26	Penagihan Piutang (IC)	mod/m5/m5_DataIC.swf	13	IC	IC	m5_ic	YES	name_code	
5	27	Pembayaran Piutang (PV)	mod/m5/m5_DataPV.swf	14	PV	PV	m5_pv	YES	name_code	
5	41	Piutang Ongkos Kirim (RP)	mod/m5/m5_TransaksiRP.swf	0	RP	RP	m5_rp	YES	name_code	
5	42	Piutang Ongkos Kirim (RP)	mod/m5/m5_DataRP.swf	41	RP	RP	m5_rp	YES	name_code	
5	44	Terima Pembayaran (IP)	mod/m5/m5_TransaksiIP.swf	0	IP	IP	m5_ip	YES	name_code	
5	45	Terima Pembayaran (IP)	mod/m5/m5_DataIP.swf	44	IP	IP	m5_ip	YES	name_code	
5	49	KPI Sales	mod/m5/m5_KPISales.swf	49				NO		no_direct_mapping
5	51	Saldo Awal Piutang	mod/m5/m5_TransaksiBalance.swf	0		BALANCE		NO		url_code_not_found
5	52	Saldo Awal Piutang	mod/m5/m5_DataBalance.swf	51		BALANCE		NO		url_code_not_found
5	54	Penyesuaian Poin Penjualan (SPA)	mod/m5/m5_TransaksiSPA.swf	0	SPA	SPA	m5_spa	YES	name_code	
5	55	Penyesuaian Poin Penjualan (SPA)	mod/m5/m5_DataSPA.swf	54	SPA	SPA	m5_spa	YES	name_code	
5	68	Tukar Faktur Penjualan (SIE)	mod/m5/m5_TransaksiSIE.swf	0	SIE	SIE	m5_sie	YES	name_code	
5	69	Tukar Faktur Penjualan (SIE)	mod/m5/m5_DataSIE.swf	68	SIE	SIE	m5_sie	YES	name_code	
5	78	Complain (CL)	mod/m5/m5_TransaksiCL.swf	0	CL	CL	m5_cl	YES	name_code	
5	79	Complain (CL)	mod/m5/m5_DataCL.swf	78	CL	CL	m5_cl	YES	name_code	
