mapped_table	menu_rows	transaksi_menu_id	transaksi_menu_name	transaksi_url	data_menu_id	data_menu_name	data_url	master_menu_id	master_menu_name	master_url	all_menu_names
m5_as	2	5	UM Penjualan (AS)	mod/m5/m5_TransaksiAS.swf	18	UM Penjualan (AS)	mod/m5/m5_DataAS.swf				UM Penjualan (AS) | UM Penjualan (AS)
m5_cl	2	78	Complain (CL)	mod/m5/m5_TransaksiCL.swf	79	Complain (CL)	mod/m5/m5_DataCL.swf				Complain (CL) | Complain (CL)
m5_do	2	7	Pengiriman Order (DO)	mod/m5/m5_TransaksiDO.swf	20	Pengiriman Order (DO)	mod/m5/m5_DataDO.swf				Pengiriman Order (DO) | Pengiriman Order (DO)
m5_dr	2	8	Hasil Pengiriman Order (DR)	mod/m5/m5_TransaksiDR.swf	21	Hasil Pengiriman Order (DR)	mod/m5/m5_DataDR.swf				Hasil Pengiriman Order (DR) | Hasil Pengiriman Order (DR)
m5_ic	2	13	Penagihan Piutang (IC)	mod/m5/m5_TransaksiIC.swf	26	Penagihan Piutang (IC)	mod/m5/m5_DataIC.swf				Penagihan Piutang (IC) | Penagihan Piutang (IC)
m5_ip	2	44	Terima Pembayaran (IP)	mod/m5/m5_TransaksiIP.swf	45	Terima Pembayaran (IP)	mod/m5/m5_DataIP.swf				Terima Pembayaran (IP) | Terima Pembayaran (IP)
m5_pi	2	9	Invoice Sementara (PI)	mod/m5/m5_TransaksiPI.swf	22	Invoice Sementara (PI)	mod/m5/m5_DataPI.swf				Invoice Sementara (PI) | Invoice Sementara (PI)
m5_pl	2	6	Packing Barang (PL)	mod/m5/m5_TransaksiPL.swf	19	Packing Barang (PL)	mod/m5/m5_DataPL.swf				Packing Barang (PL) | Packing Barang (PL)
m5_pv	2	14	Pembayaran Piutang (PV)	mod/m5/m5_TransaksiPV.swf	27	Pembayaran Piutang (PV)	mod/m5/m5_DataPV.swf				Pembayaran Piutang (PV) | Pembayaran Piutang (PV)
m5_rnr	2	11	Penerimaan Barang Retur (RNR)	mod/m5/m5_TransaksiRNR.swf	24	Penerimaan Barang Retur (RNR)	mod/m5/m5_DataRNR.swf				Penerimaan Barang Retur (RNR) | Penerimaan Barang Retur (RNR)
m5_rp	2	41	Piutang Ongkos Kirim (RP)	mod/m5/m5_TransaksiRP.swf	42	Piutang Ongkos Kirim (RP)	mod/m5/m5_DataRP.swf				Piutang Ongkos Kirim (RP) | Piutang Ongkos Kirim (RP)
m5_si	2	10	Invoice Penjualan (SI)	mod/m5/m5_TransaksiSI.swf	23	Invoice Penjualan (SI)	mod/m5/m5_DataSI.swf				Invoice Penjualan (SI) | Invoice Penjualan (SI)
m5_sie	2	68	Tukar Faktur Penjualan (SIE)	mod/m5/m5_TransaksiSIE.swf	69	Tukar Faktur Penjualan (SIE)	mod/m5/m5_DataSIE.swf				Tukar Faktur Penjualan (SIE) | Tukar Faktur Penjualan (SIE)
m5_so	2	4	Order Penjualan (SO)	mod/m5/m5_TransaksiSO.swf	17	Order Penjualan (SO)	mod/m5/m5_DataSO.swf				Order Penjualan (SO) | Order Penjualan (SO)
m5_spa	2	54	Penyesuaian Poin Penjualan (SPA)	mod/m5/m5_TransaksiSPA.swf	55	Penyesuaian Poin Penjualan (SPA)	mod/m5/m5_DataSPA.swf				Penyesuaian Poin Penjualan (SPA) | Penyesuaian Poin Penjualan (SPA)
m5_sq	2	3	Penawaran Penjualan (SQ)	mod/m5/m5_TransaksiSQ.swf	16	Penawaran Penjualan (SQ)	mod/m5/m5_DataSQ.swf				Penawaran Penjualan (SQ) | Penawaran Penjualan (SQ)
m5_sr	2	12	Retur Penjualan (SR)	mod/m5/m5_TransaksiSR.swf	25	Retur Penjualan (SR)	mod/m5/m5_DataSR.swf				Retur Penjualan (SR) | Retur Penjualan (SR)
