exceptions	GUID
m0_hitungulang_log	huid
m0_report_filter	fid
m0_report_filter_copy1	fid
m0_report_lang	rlrid
m1_contact	kid
m1_contact_attention	kaid
m1_contact_attention_history	kaid
m1_contact_copy	kid
m1_contact_history	kid
m1_contact_tmp	kid
m1_item	bid
m1_item2	bid
m1_item_c	bid
m1_item_copy1	bid
m1_item_copy2	bid
m1_item_flex	bid
m1_item_hauling	bid
m1_item_hauling_history	bid
m1_item_history	bid
m2_pengajuan_dana	tid
m2_rm_historyjson	rmjid
m2_transaction_journal	tid
m2_transaction_journal_history	tid
m2r_analisa_penyusutan	aid
m2r_bukubesar_akunlawan	kbhid
m2r_inventory_aging	ksid
m2r_kartu_stok	ksid
m2r_kasbank_harian	kbhid
m2r_laporan_penjualan	kid
m2r_penjualan_barang_pertgl	kid
m3_rw	rwbid
m3_rw	rwkid
m3_rw_history	rwbid
m3_rw_history	rwkid
m7_asset_transaction	atasetid
m7_asset_transaction_history	atasetid
m9_konsolidasi_barang	kbid
m9_konsolidasi_history	khid
m_10_ea	eajid
m_10_employee	kid
m_10_es	eskid
m_10_ord	ordlid
m_11_kj	kjid
m_11_kj_history	kjid
m_11_km	kmid
m_11_km_history	kmid
m_11_kw	kwid
m_12_pos_voucher_in	viid
m_12_pos_voucher_out	void
meetingagendarelevant	AgendaRelevantId
meetingagendas	AgendaId
meetingagendatypes	AgendaTypeId
meetingattendees	AttendeeId
meetingdecisionrelevant	DecisionRelevantId
meetingdecisions	DecisionId
meetings	MeetingId
meetings	MeetingGuid
meetingtypes	MeetingTypeId
term_hierarchy_backup	tid
test	bid
